run_id,variant,scenario,mqtt_qos,matching_mode,missing_update_count_exact,proxy_frame_alignment_mode,browser_event_count,gateway_update_count,proxy_sent_frame_count,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,freshness_stddev_ms,stale_fraction,late_threshold_ms,late_count,missing_update_count,missing_updates_outage_drop_count,missing_updates_non_outage_drop_count,missing_updates_delivered_frame_count,missing_updates_unclassified_count,missing_sensor_count,gateway_mqtt_in_msgs,duplicates_dropped,compacted_dropped,value_dedup_dropped,freshness_ttl_ms,effective_batch_window_ms,stale_sensor_count,proxy_dropped_frames,proxy_downstream_frames_out,proxy_downstream_bytes_out,max_bandwidth_bytes_per_s,max_frame_rate_per_s,proxy_frame_rate_stddev_per_s,max_update_rate_per_s,dashboard_stale_count,dashboard_message_count,dashboard_frame_count,proxy_inter_frame_gap_sample_count,proxy_inter_frame_gap_mean_ms,proxy_inter_frame_gap_p50_ms,proxy_inter_frame_gap_p95_ms,proxy_inter_frame_gap_p99_ms,proxy_inter_frame_gap_stddev_ms,proxy_frame_alignment_note,run_dir,summary_path,condition_id,trial_id,trial_index,impairment_seed,schema_version,batch_window_ms,adaptive_min_batch_window_ms,adaptive_max_batch_window_ms,adaptive_step_up_ms,adaptive_step_down_ms,adaptive_queue_high_watermark,adaptive_queue_low_watermark,adaptive_send_slow_ms,adaptive_recovery_streak
v0-qos1-clean-trial-03-seed-53703,v0,clean,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,17.629,14.0,46.9,54.69,14.352,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.504,1.0,61.0,5868.0,1005.74,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-clean\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-clean\trial-03-seed-53703\summary.json,v0-qos1-clean,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos1-delay_50ms_jitter20ms-trial-01-seed-53701,v0,delay_50ms_jitter20ms,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,754.068,637.5,1819.7,2108.74,520.118,0.265152,1000,35,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,1735,19,5.868,19,80,132,132,131,195.611,58.0,80.5,4939.5,797.674,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-delay_50ms_jitter20ms\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-delay_50ms_jitter20ms\trial-01-seed-53701\summary.json,v0-qos1-delay_50ms_jitter20ms,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos1-delay_50ms_jitter20ms-trial-02-seed-53702,v0,delay_50ms_jitter20ms,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,762.561,658.5,1906.8,2191.29,538.225,0.280303,1000,37,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,1651,18,5.925,18,80,132,132,131,194.687,60.0,83.5,4935.6,786.471,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-delay_50ms_jitter20ms\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-delay_50ms_jitter20ms\trial-02-seed-53702\summary.json,v0-qos1-delay_50ms_jitter20ms,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos1-delay_50ms_jitter20ms-trial-03-seed-53703,v0,delay_50ms_jitter20ms,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,801.977,691.5,1951.25,2219.67,559.913,0.30303,1000,40,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,1556,17,5.803,17,80,132,132,131,196.053,62.0,79.5,4875.4,779.798,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-delay_50ms_jitter20ms\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-delay_50ms_jitter20ms\trial-03-seed-53703\summary.json,v0-qos1-delay_50ms_jitter20ms,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos1-loss_2pct-trial-01-seed-53701,v0,loss_2pct,1,exact_sensor_metric_msg_ts,True,unavailable,128,180,128,44.266,36.5,113.65,141.57,36.86,0.0,1000,0,52,0,0,0,52,14,180,0,0,0,1000,250,100,4,128,11693,3193,35,8.991,35,79,128,128,127,190.362,1.0,59.5,5872.22,1021.882,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-loss_2pct\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-loss_2pct\trial-01-seed-53701\summary.json,v0-qos1-loss_2pct,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos1-loss_2pct-trial-02-seed-53702,v0,loss_2pct,1,exact_sensor_metric_msg_ts,True,unavailable,129,180,129,42.357,32.0,106.0,122.6,33.505,0.0,1000,0,51,0,0,0,51,15,180,0,0,0,1000,250,100,3,129,11791,3284,36,9.447,35,78,129,129,128,188.867,1.0,55.65,5874.42,1018.114,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-loss_2pct\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-loss_2pct\trial-02-seed-53702\summary.json,v0-qos1-loss_2pct,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos1-loss_2pct-trial-03-seed-53703,v0,loss_2pct,1,exact_sensor_metric_msg_ts,True,unavailable,128,180,128,42.836,29.0,112.65,129.38,37.044,0.0,1000,0,52,0,0,0,52,14,180,0,0,0,1000,250,100,4,128,11692,3824,42,9.415,42,79,128,128,127,190.339,1.0,64.5,5872.62,1021.676,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-loss_2pct\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-loss_2pct\trial-03-seed-53703\summary.json,v0-qos1-loss_2pct,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos1-outage_5s-trial-01-seed-53701,v0,outage_5s,1,exact_sensor_metric_msg_ts,True,unavailable,116,180,116,47.129,36.0,123.75,137.25,38.637,0.0,1000,0,64,0,0,0,64,15,180,0,0,0,1000,250,100,16,116,10605,2552,28,6.625,23,80,116,116,115,210.217,1.0,56.6,5872.04,1330.228,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-outage_5s\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-outage_5s\trial-01-seed-53701\summary.json,v0-qos1-outage_5s,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos1-outage_5s-trial-02-seed-53702,v0,outage_5s,1,exact_sensor_metric_msg_ts,True,unavailable,116,180,116,46.267,35.0,127.0,133.0,39.405,0.0,1000,0,64,0,0,0,64,15,180,0,0,0,1000,250,100,16,116,10605,2922,32,8.529,32,80,116,116,115,210.209,1.0,53.2,5856.54,1330.341,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-outage_5s\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-outage_5s\trial-02-seed-53702\summary.json,v0-qos1-outage_5s,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos1-outage_5s-trial-03-seed-53703,v0,outage_5s,1,exact_sensor_metric_msg_ts,True,unavailable,116,180,116,43.94,31.0,115.5,128.7,37.063,0.0,1000,0,64,0,0,0,64,15,180,0,0,0,1000,250,100,16,116,10605,4014,44,9.11,44,80,116,116,115,210.157,1.0,56.6,5870.46,1330.197,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-outage_5s\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-outage_5s\trial-03-seed-53703\summary.json,v0-qos1-outage_5s,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
